Dia,Tienda,Clave Producto,Producto,Piezas,Ventas Monto,Existencias,Inventario Monto
2016/09/06,174 GOURMETERIA,11956026618,PAW CACHORROS DE RES CATE,0,0,5,1495
2016/09/06,173 GALERIAS SERDAN,11956027969,KNS KINETIC SAND SET PAW PATROL,0,0,4,1996
2016/09/06,150 SAN LUIS,11956024608,DGB JAULA PARA DIGIBIRD,0,0,2,778
2016/09/06,172 GALERIAS MAZATLAN,11956028590,DNG MEGA SET,0,0,3,1797
2016/09/06,149 LEÒN PLAZA MAYOR,11956026425,TMNT FIGURA 2 5,0,0,3,627
2016/09/06,172 GALERIAS MAZATLAN,11956017872,BGM HEDBANZ  ADULTOS,0,0,7,2933
2016/09/06,148 GRAN PLAZA MERIDA,11956027388,TMT ARMAS DE BATALLA CON SONIDO,0,0,2,1058
2016/09/06,171 TECAMACHALCO,11956024163,DWD DRAGON Y VIKINGO,0,0,5,1845
2016/09/06,147 MONTEJO,11956028699,PAW INX CAMION,0,0,2,1598
2016/09/06,170 METROPOLI PATRIOTISMO,11956024609,DGB DIGIBIRD TRIO,0,0,2,1418
2016/09/06,146 ALTABRISA TABASCO,11956028760,TMT MOVIE 2 FIGURAS 11,0,0,2,1398
2016/09/06,169 GALERIAS CAMPECHE,11956026203,PAW INX COCHE CHASE,0,0,0,0
2016/09/06,146 ALTABRISA TABASCO,11956020259,DWD DRAGONES DE ACCION,0,0,13,4797
2016/09/06,168 OAXACA,11956026693,KNS KINETIC SAND MARIPOSA VOLCAN,0,0,7,2443
2016/09/06,145 XALAPA LAS ANIMAS,11956024265,PAW FIGURA CACHORROS TRANSFORMABLES,0,0,7,1463
2016/09/06,167 TECNOLOGICO METEPEC,11956027991,SFP FIG ACCION,0,0,28,4452
2016/09/06,144 XALAPA LAS AMERICAS,11956026199,PAW INX CAJITA MARSHALL,0,0,5,1445
2016/09/06,167 TECNOLOGICO METEPEC,11956020699,BGM HIJOS CONTRA PADRES,0,0,6,1674
2016/09/06,143 CORDOBA,11956026554,BGM MEMORIA PAW PATROL,0,0,8,1672
2016/09/06,166 PLAZA CRYSTAL,11956024270,PAW FIGURA PILOTOS DE RES CATE,0,0,4,636
2016/09/06,142 URUAPAN AGORA,11956027360,PP ADVENTURE TOWN SET,0,0,0,0
2016/09/06,165 SAN JUAN DEL RIO,11956026201,PAW INX TORRE,0,0,1,999
2016/09/06,141 LAS AMERICAS BOCA DEL RIO,11956028639,KNS BLD KINETIC BUILD BICOLOR 500 GRS,0,0,8,2552
2016/09/06,164 LEON SUR,11956026569,BGM VASOS LOCOS,0,0,10,4190
2016/09/06,140 PALMAS,11956028761,TMT MOV2 FIGURA 6,0,0,8,3352
2016/09/06,163 ANTEA QUERETARO,11956027389,PAW SET CACHORROS METALICOS,0,0,9,11151
2016/09/06,140 PALMAS,11956020580,TMT FIGURAS 6 FLINGERZ,0,0,2,818
2016/09/06,162 PLAZA TLALNEPANTLA,11956028029,PPG 6 DELUXE DOLL AST MML 3PK,0,0,3,1347
2016/09/06,139 GALERIAS ATIZAPAN,11956024607,DGB DIGIBIRD INDIVIDUAL,0,0,13,3367
2016/09/06,161 GALERIAS CELAYA,11956028590,DNG MEGA SET,0,0,3,1797
2016/09/06,138 PLAZA VALLE ORIZABA,11956026410,KNS KINETIC SAND GEMAS PRECIOSAS,0,0,6,2094
2016/09/06,160 GALERIAS ZACATECAS,11956029033,BGM RETO EN FAMILIA,0,0,4,1236
2016/09/06,137 ANDARES GUADALAJARA,11956027388,TMT ARMAS DE BATALLA CON SONIDO,0,0,1,529
2016/09/06,160 GALERIAS ZACATECAS,11956020370,BGM HEDBANZ ACTUALO,0,0,2,778
2016/09/06,136 PLAZA NEZA CD. JARDIN,11956028759,TMT MOV2 ARMAS,0,0,4,1676
2016/09/06,159 PATRIA,11956024524,STF REPUESTOS DE TELA,0,0,2,258
2016/09/06,136 PLAZA NEZA CD. JARDIN,11956022492,MINI PELUCHES DRAGON DE 8,0,0,6,1425
2016/09/06,158 RIO MAYO,11956026608,DIBUJAZO,0,0,4,1116
2016/09/06,135 SAN JERONIMO,11956024266,PAW VEHICULO BASICO,0,0,24,9576
2016/09/06,157 TOWN CENTER ROSARIO,11956027989,SFP PELUCHE DE LUJO CON SONIDO,0,0,2,1858
2016/09/06,123 GALERIAS GUADALAJARA,11956028021,PPG PYS MINI ACTION PLAYSET AST MML4PK,0,0,12,4908
2016/09/06,134 POWER CENTER COACALCO,11956025003,KNS SET DE JUEGO KINETIC SAND 500 G,0,0,9,4050
2016/09/06,156 TABASCO 2000,11956028583,AGB FIG ACCION LUJO SONIDO,0,0,5,2045
2016/09/06,123 GALERIAS GUADALAJARA,11956017872,BGM HEDBANZ  ADULTOS,0,0,33,13827
2016/09/06,133 ALTARIA AGUASCALIENTES,11956027033,PAW CACHORROS AEREOS,0,0,7,2093
2016/09/06,156 TABASCO 2000,11956019464,TMNT FIGURAS RETRO 6,0,0,1,200
2016/09/06,121 OUTLET PUEBLA,11956022972,PEZ ROBOT  2 CORALES Y CASTILLO,0,0,6,1205
2016/09/06,132 LA CUSPIDE,11956028574,AGB SPEEDSTERS,0,0,5,445
2016/09/06,505 PRICE TOYS ECATEPEC,11956027454,PAW TABLETA DE RYDER,0,0,18,5382
2016/09/06,155 PEDREGAL,11956024524,STF REPUESTOS DE TELA,0,0,9,1161
2016/09/06,121 OUTLET PUEBLA,11956015602,ZOOBLES EXPRESIONES,0,0,4,793
2016/09/06,131 FORUM COATZACOALCOS,11956028761,TMT MOV2 FIGURA 6,0,0,3,1257
2016/09/06,502 PRICE TOYS GUADALAJARA,11956028035,PPG PLH 8 BASIC PLUSH AST MML 8PK,0,0,32,7360
2016/09/06,154 ALTABRISA MERIDA,11956026423,TMT FIGURAS 6 LANZA Y ATACA,0,0,1,409
2016/09/06,120 PUEBLA 5 DE MAYO,11956026759,SC KIT DE TELAS JUMBO,0,0,11,2849
2016/09/06,131 FORUM COATZACOALCOS,11956018010,BGM HEDBANZ NINOS,0,0,12,3708
2016/09/06,501 CENTRO JUGUETERO,11956024524,STF REPUESTOS DE TELA,0,0,16,2016
2016/09/06,153 TUXTLA,11956027114,PAW INX CAJITA RUBBLE,0,0,5,1445
2016/09/06,119 LERMA,11956028583,AGB FIG ACCION LUJO SONIDO,0,0,1,381
2016/09/06,130 PLAZA PATRIA,11956020370,BGM HEDBANZ ACTUALO,0,0,9,3501
2016/09/06,218 LIQUIDACION TLANEPANTLA,11956013961,SMALL CHARACTER ASST,0,0,1,54.5
2016/09/06,152 SAN LUIS CARSO,11956028579,AGB SET EXPLOSION CD PUERCOS,0,0,1,659
2016/09/06,119 LERMA,11956021469,KAWAII CRUSH MINI PLAYSET KIOSKO,0,0,1,39
2016/09/06,129 CUERNAVACA SAN DIEGO,11956022690,BGM HIJOS CONTRA PADRES DISNEY,0,0,7,2933
2016/09/06,181 VISTA HERMOSA,11956026466,KNS KINETIC SAND SET CONSTRUCCION HELADOS,0,0,7,2093
2016/09/06,152 SAN LUIS CARSO,11956020259,DWD DRAGONES DE ACCION,0,0,10,3690
2016/09/06,119 LERMA,11956013340,TECH DECK SET BASICO PATINETAS,0,0,1,118
2016/09/06,128 PLAZA LAS AMERICAS,11956026125,TMT MUTATIONS MEZCLA Y COMBINA,0,0,1,239
2016/09/06,180 JUGUETRON ONLINE,11956026269,DWD CHIMUELO CONTRA DRAGON CON ARMADURA,0,0,4,2116
2016/09/06,151 VILLA HERMOSA LAS AMERICAS,11956024269,PAW PELUCHE BASICO 8,0,0,6,1854
2016/09/06,118 TLALNEPANTLA,11956024479,PAW MINI FIGURAS,0,0,43,4171
2016/09/06,127 PREMIUM OUTLET,11956026554,BGM MEMORIA PAW PATROL,0,0,17,3315
2016/09/06,177 BERNARDO QUINTANA,11956026423,TMT FIGURAS 6 LANZA Y ATACA,0,0,6,2454
2016/09/06,150 SAN LUIS,11956026069,DWD CHIMUELO ELECTRONICO DE LUJO,0,0,1,899
2016/09/06,117 TOLLIN CENTER,11956027114,PAW INX CAJITA RUBBLE,0,0,0,0
2016/09/06,127 PREMIUM OUTLET,11956018064,VTC ILR SORT AND LEARN VAN AST MSP 4PK M01,0,0,1,230
2016/09/06,116 ANGELOPOLIS,11956033740,PAW CACHORROS TRANSFORMABLES JUMBO ASST,0,0,9,5211
2016/09/06,126 GALERIAS CUERNAVACA,11956027926,DNG SET CREATIVO,0,0,19,3781
2016/09/06,116 ANGELOPOLIS,11956024269,PAW PELUCHE BASICO 8,0,0,37,11433
2016/09/06,125 LEON,11956031649,TMT MOV2 CAMION C FIGURA,0,0,1,1449
2016/09/06,115 PERINORTE,11956026201,PAW INX TORRE,0,0,2,1998
2016/09/06,125 LEON,11956022663,MASCARA DE TORTUGA NINJA,0,0,3,747
2016/09/06,114 C. C. SANTA FE,11956026618,PAW CACHORROS DE RES CATE,0,0,19,5681
2016/09/06,124 GALERIAS PACHUCA,11956024574,TMNT FIGURA DE 5 SOLO TORTUGAS,0,0,0,0
2016/09/06,113 GALERIAS INSURGENTES,11956027991,SFP FIG ACCION,0,0,2,318
2016/09/06,113 GALERIAS INSURGENTES,11956019459,TMNT FIGURAS DE 6  CON SONIDO,0,0,16,6544
2016/09/06,112 GALERIAS COAPÁ,11956024265,PAW FIGURA CACHORROS TRANSFORMABLES,0,0,58,12122
2016/09/06,110 PLAZA CIBELES IRAPUATO,11956026410,KNS KINETIC SAND GEMAS PRECIOSAS,0,0,12,4188
2016/09/06,109 PABELLON POLANCO,11956027389,PAW SET CACHORROS METALICOS,0,0,10,12390
2016/09/06,108 PLAZA LINDAVISTA,11956028579,AGB SET EXPLOSION CD PUERCOS,0,0,1,659
2016/09/06,108 PLAZA LINDAVISTA,11956021804,RELOJ ESPIA,0,0,6,1370
2016/09/06,108 PLAZA LINDAVISTA,11956014014,FTX BICI BASICA,0,0,3,462
2016/09/06,107 CENTRAL DE ABASTOS,11956024269,PAW PELUCHE BASICO 8,0,0,20,5860
2016/09/06,106 REAL CENTER GUADALAJARA,11956026754,FLYING FAIRY PRINCESA,0,0,1,400
2016/09/06,105 GALERÍAS METEPEC,11956027992,SFP FIG ACCION SONIDO,0,0,3,1557
2016/09/06,105 GALERÍAS METEPEC,11956019457,FIGURAS BASICAS 5,0,0,2,270
