03-11-2015@16:03:46 INFO  (WalmartInsert.java:240)     - [+]Comienza Inserción de datos Walmart-Cesarfer
03-11-2015@16:03:48 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
03-11-2015@16:03:48 INFO  (Utileria.java:267)     - RENAME: El archivo 11-01-2015 existe
03-11-2015@16:03:48 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 11-01-2015 correctamente cambiado
03-11-2015@16:03:50 INFO  (WalmartInsert.java:103)     - READ: El archivo 11-01-2015 existe
03-11-2015@16:03:50 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_11-01-2015.csv
03-11-2015@16:04:04 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
03-11-2015@16:04:04 INFO  (WalmartInsert.java:240)     - [+]Comienza Inserción de datos Walmart-Cesarfer
03-11-2015@16:04:06 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
03-11-2015@16:04:06 INFO  (Utileria.java:267)     - RENAME: El archivo 10-31-2015 existe
03-11-2015@16:04:06 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 10-31-2015 correctamente cambiado
03-11-2015@16:04:08 INFO  (WalmartInsert.java:103)     - READ: El archivo 10-31-2015 existe
03-11-2015@16:04:08 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_10-31-2015.csv
03-11-2015@16:04:21 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
03-11-2015@16:04:21 INFO  (WalmartInsert.java:240)     - [+]Comienza Inserción de datos Walmart-Cesarfer
03-11-2015@16:04:22 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
03-11-2015@16:04:22 INFO  (Utileria.java:267)     - RENAME: El archivo 10-30-2015 existe
03-11-2015@16:04:22 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 10-30-2015 correctamente cambiado
03-11-2015@16:04:24 INFO  (WalmartInsert.java:103)     - READ: El archivo 10-30-2015 existe
03-11-2015@16:04:24 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_10-30-2015.csv
03-11-2015@16:04:37 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
03-11-2015@16:04:37 INFO  (WalmartInsert.java:240)     - [+]Comienza Inserción de datos Walmart-Cesarfer
03-11-2015@16:04:39 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
03-11-2015@16:04:39 INFO  (Utileria.java:267)     - RENAME: El archivo 10-29-2015 existe
03-11-2015@16:04:39 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 10-29-2015 correctamente cambiado
03-11-2015@16:04:41 INFO  (WalmartInsert.java:103)     - READ: El archivo 10-29-2015 existe
03-11-2015@16:04:41 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_10-29-2015.csv
03-11-2015@16:04:54 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
03-11-2015@16:04:54 INFO  (WalmartInsert.java:240)     - [+]Comienza Inserción de datos Walmart-Cesarfer
03-11-2015@16:04:56 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
03-11-2015@16:04:56 INFO  (Utileria.java:267)     - RENAME: El archivo 10-28-2015 existe
03-11-2015@16:04:56 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 10-28-2015 correctamente cambiado
03-11-2015@16:04:58 INFO  (WalmartInsert.java:103)     - READ: El archivo 10-28-2015 existe
03-11-2015@16:04:58 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_10-28-2015.csv
03-11-2015@16:05:10 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
03-11-2015@16:05:10 INFO  (WalmartInsert.java:240)     - [+]Comienza Inserción de datos Walmart-Cesarfer
03-11-2015@16:05:12 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
03-11-2015@16:05:12 INFO  (Utileria.java:267)     - RENAME: El archivo 10-27-2015 existe
03-11-2015@16:05:12 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 10-27-2015 correctamente cambiado
03-11-2015@16:05:14 INFO  (WalmartInsert.java:103)     - READ: El archivo 10-27-2015 existe
03-11-2015@16:05:14 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_10-27-2015.csv
03-11-2015@16:05:14 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
03-11-2015@16:05:14 INFO  (WalmartInsert.java:240)     - [+]Comienza Inserción de datos Walmart-Cesarfer
03-11-2015@16:05:16 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
03-11-2015@16:05:16 INFO  (Utileria.java:276)     - UTIL: No se renombro el archivo con fecha 10-26-2015, ya se renombro o no existe, pasando al siguiente archivo
03-11-2015@16:05:18 INFO  (WalmartInsert.java:108)     - READ: El archivo con fecha: 10-26-2015 no existe o no se a descargado aun. Pasando al siguiente
03-11-2015@16:05:18 INFO  (WalmartInsert.java:87)     - [-]Termina insersión de portal Walmart Cesarfer venta diaria
04-11-2015@11:40:27 INFO  (WalmartDownload.java:47)     - Se ejecuta Walmart download
04-11-2015@11:40:27 INFO  (Utileria.java:118)     - old date: Tue Nov 03 11:40:27 CST 2015
04-11-2015@11:40:27 INFO  (Utileria.java:118)     - old date: Mon Nov 02 11:40:27 CST 2015
04-11-2015@11:40:27 INFO  (Utileria.java:118)     - old date: Sun Nov 01 11:40:27 CST 2015
04-11-2015@11:40:27 INFO  (Utileria.java:118)     - old date: Sat Oct 31 11:40:27 CST 2015
04-11-2015@11:40:27 INFO  (Utileria.java:118)     - old date: Fri Oct 30 11:40:27 CST 2015
04-11-2015@11:40:27 INFO  (Utileria.java:118)     - old date: Thu Oct 29 11:40:27 CST 2015
04-11-2015@11:40:27 INFO  (Utileria.java:118)     - old date: Wed Oct 28 11:40:27 CST 2015
04-11-2015@11:40:27 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
04-11-2015@11:40:27 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_11-03-2015
04-11-2015@11:55:22 INFO  (WalmartDownload.java:47)     - Se ejecuta Walmart download
04-11-2015@11:55:22 INFO  (Utileria.java:118)     - old date: Tue Nov 03 11:55:22 CST 2015
04-11-2015@11:55:22 INFO  (Utileria.java:118)     - old date: Mon Nov 02 11:55:22 CST 2015
04-11-2015@11:55:22 INFO  (Utileria.java:118)     - old date: Sun Nov 01 11:55:22 CST 2015
04-11-2015@11:55:22 INFO  (Utileria.java:118)     - old date: Sat Oct 31 11:55:22 CST 2015
04-11-2015@11:55:22 INFO  (Utileria.java:118)     - old date: Fri Oct 30 11:55:22 CST 2015
04-11-2015@11:55:22 INFO  (Utileria.java:118)     - old date: Thu Oct 29 11:55:22 CST 2015
04-11-2015@11:55:22 INFO  (Utileria.java:118)     - old date: Wed Oct 28 11:55:22 CST 2015
04-11-2015@11:55:22 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
04-11-2015@11:55:22 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_11-03-2015
04-11-2015@11:55:36 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_11-03-2015
04-11-2015@11:55:41 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/Outbound05/ces4001_444979346_F32B64A6X94F3X450FX890CXB4C4A2996D76.txt
04-11-2015@11:55:45 INFO  (WalmartDownload.java:150)     - [-]Termina la creación del archivo
04-11-2015@11:55:48 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
04-11-2015@11:55:48 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_11-02-2015
04-11-2015@11:55:59 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_11-02-2015
04-11-2015@11:55:59 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/decision_support/Status_retrieve_request.aspx?questionid=Q10102&applicationid=300&JobId=444979351&status=D&Extension=txt&filename=/Outbound05/ces4001_444979351_8B184E91X8883X4E56XB7C6XB4A14A333AB9&reqname=evolve_webbot_11-02-2015,444979351
04-11-2015@11:56:07 INFO  (WalmartDownload.java:150)     - [-]Termina la creación del archivo
04-11-2015@11:56:10 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
04-11-2015@11:56:10 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_11-01-2015
04-11-2015@11:56:18 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_11-01-2015
04-11-2015@11:56:23 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/Outbound07/ces4001_444979358_1D52C26DX77ABX4499XBE63X52E344A4AD8B.txt
04-11-2015@11:56:28 INFO  (WalmartDownload.java:150)     - [-]Termina la creación del archivo
04-11-2015@11:56:31 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
04-11-2015@11:56:31 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_10-31-2015
04-11-2015@11:56:39 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_10-31-2015
04-11-2015@11:56:39 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/decision_support/Status_retrieve_request.aspx?questionid=Q10102&applicationid=300&JobId=444979367&status=D&Extension=txt&filename=/Outbound04/ces4001_444979367_BD1901A2X0C83X440BXAF01XF897786DF1BE&reqname=evolve_webbot_10-31-2015,444979367
04-11-2015@11:56:47 INFO  (WalmartDownload.java:150)     - [-]Termina la creación del archivo
04-11-2015@11:56:50 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
04-11-2015@11:56:50 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_10-30-2015
04-11-2015@11:57:00 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_10-30-2015
04-11-2015@11:57:00 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/decision_support/Status_retrieve_request.aspx?questionid=Q10102&applicationid=300&JobId=444979373&status=D&Extension=txt&filename=/Outbound04/ces4001_444979373_B1F11EF1X3FBFX4B06XB8BDX34836E9F9ED2&reqname=evolve_webbot_10-30-2015,444979373
04-11-2015@11:57:09 INFO  (WalmartDownload.java:150)     - [-]Termina la creación del archivo
04-11-2015@11:57:12 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
04-11-2015@11:57:12 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_10-29-2015
04-11-2015@11:57:21 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_10-29-2015
04-11-2015@11:57:26 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/Outbound07/ces4001_444979387_EAE518C2X0EE0X412AXABA4X0697FDF2AD5A.txt
04-11-2015@11:57:29 INFO  (WalmartDownload.java:150)     - [-]Termina la creación del archivo
04-11-2015@11:57:32 INFO  (Utileria.java:251)     - [+]Archivo no encontrado...comienza la generación/descarga del link/archivo
04-11-2015@11:57:32 INFO  (WalmartDownload.java:57)     - Comienza descarga de archivo walmart_10-28-2015
04-11-2015@11:57:41 INFO  (WalmartDownload.java:127)     - Reporte : evolve_webbot_10-28-2015
04-11-2015@11:57:46 INFO  (WalmartDownload.java:135)     - Url : https://retaillink.wal-mart.com/Outbound05/ces4001_444979395_DD8F12FFXC4B6X4835X97A3X747651383494.txt
04-11-2015@11:57:49 INFO  (WalmartDownload.java:150)     - [-]Termina la creación del archivo
